90Deg 	 _20180413_105125_ 	 Reg 1 
Time (Sec), East Wave Probe (m), West Wave Probe (m),WaveProbe_A(m),WaveProbe_B(m),WaveProbe_C(m),StringPot_1(m),StringPot_2(m),LoadCell (N)
24025.000000, -2.905159E-5, -2.511373E-4, -4.646107E-5, 3.757485E-4, -3.355038E-4, 2.807832E-5, -5.835887E-5, -2.212532E-3
24336.000000, -2.905159E-5, -3.156370E-5, -5.315816E-5, 3.068116E-4, -5.767130E-5, 2.477499E-5, -1.651666E-5, 1.960471E-3
24649.000000, -2.905159E-5, -1.852652E-4, -2.050984E-5, 4.306427E-4, -2.033229E-4, -9.359442E-6, -2.257277E-5, 1.162279E-3
24964.000000, -2.905159E-5, -1.852652E-4, -6.613377E-5, 1.412780E-4, -2.925661E-4, -4.349388E-5, -1.046055E-4, 6.959673E-3
25281.000000, -2.905159E-5, -2.730946E-4, -8.329507E-5, 1.697890E-4, -3.931751E-4, -1.816833E-5, -4.294332E-5, 7.659841E-3
25600.000000, -2.905159E-5, -2.730946E-4, 1.548702E-5, 4.825581E-4, -3.957009E-5, 7.652720E-5, -5.450498E-5, -2.800673E-3
25921.000000, 1.495555E-5, -2.072226E-4, -1.423132E-5, 6.514960E-4, 2.710972E-4, 7.817887E-5, -5.560609E-5, 7.869892E-3
26244.000000, 1.495555E-5, -5.352106E-5, -7.617941E-5, 3.421312E-4, -3.788625E-6, 6.386443E-5, -3.633666E-5, 5.013205E-3
26569.000000, 1.495555E-5, -5.352106E-5, -9.961923E-5, 4.255363E-4, -4.112763E-4, 1.816833E-5, -6.936998E-5, 7.029690E-3
26896.000000, 1.029698E-4, -1.633078E-4, -4.018254E-5, 2.319173E-4, -4.041201E-5, -4.239276E-5, -8.753831E-5, 3.220774E-3
27225.000000, -1.390695E-4, -3.170093E-4, -3.097405E-5, 5.191542E-4, -5.472459E-5, -8.038109E-5, 2.642666E-5, -1.260303E-4
27556.000000, -1.390695E-4, -3.170093E-4, -2.385839E-5, 2.961732E-4, -6.061801E-5, 1.260772E-4, 2.202222E-6, -1.232296E-3
27889.000000, 3.695913E-5, -3.170093E-4, -5.232102E-5, 2.140447E-4, -2.584684E-4, -5.505554E-6, -3.688721E-5, 1.764424E-3
28224.000000, -9.506231E-5, -9.743577E-5, -1.105020E-4, 5.617079E-4, -3.653919E-4, 4.404443E-5, -5.835887E-5, -4.481077E-4
28561.000000, -9.506231E-5, -9.743577E-5, 4.185682E-6, 4.544727E-4, -2.029019E-4, 4.679721E-5, -4.844887E-5, 4.313037E-3
28900.000000, 1.495555E-5, -2.511373E-4, -3.599686E-5, 2.621303E-4, -1.633319E-4, 1.211222E-5, -1.277289E-4, 8.752104E-3
